YearValue,State,QtyInMillionTonnes
2019,Andaman and Nicobar,0
2019,Andhra Pradesh,1607.21
2019,Arunachal Pradesh,90.23
2019,Assam,525.01
2019,Bihar,1833.84
2019,Chandigarh,0
2019,Chhattisgarh,59907.76
2019,Dadra and Nagar Haveli,0
2019,Daman and Diu,0
2019,Delhi,0
2019,Goa,0
2019,Gujarat,0
2019,Haryana,0
2019,Himachal Pradesh,0
2019,Jammu and Kashmir,0
2019,Jharkhand,84505.96
2019,Karnataka,0
2019,Kerala,0
2019,Lakshadweep,0
2019,Madhya Pradesh,28793.1
2019,Maharashtra,12677.16
2019,Manipur,0
2019,Meghalaya,576.48
2019,Mizoram,0
2019,Nagaland,446.42
2019,Orissa,80840.34
2019,Puducherry,0
2019,Punjab,0
2019,Rajasthan,0
2019,Sikkim,101.23
2019,Tamil Nadu,0
2019,Telangana,21838.94
2019,Tripura,0
2019,Uttar Pradesh,1061.8
2019,Uttaranchal,0
2019,West Bengal,31690.15
