Region,State,ConsumingSector,BroadCategory,YearValue,Consumption_GWh
ER,A & N ISLANDS,AGRICULTURE,AGRICULTURE,2019,1.02
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2019,12838.59
NER,ARUNACHAL PRADESH,AGRICULTURE,AGRICULTURE,2019,0.03
NER,ASSAM,AGRICULTURE,AGRICULTURE,2019,46.71
ER,BIHAR,AGRICULTURE,AGRICULTURE,2019,726.71
NR,CHANDIGARH,AGRICULTURE,AGRICULTURE,2019,1.36
WR,CHHATTISGARH,AGRICULTURE,AGRICULTURE,2019,5038.43
WR,DADRA & NAGAR HAVELI,AGRICULTURE,AGRICULTURE,2019,7.23
NR,DELHI,AGRICULTURE,AGRICULTURE,2019,33.43
WR,DIU & DAMAN,AGRICULTURE,AGRICULTURE,2019,4.83
WR,GOA,AGRICULTURE,AGRICULTURE,2019,26.37
WR,GUJARAT,AGRICULTURE,AGRICULTURE,2019,14598.35
NR,HARYANA,AGRICULTURE,AGRICULTURE,2019,9714.29
NR,HIMACHAL PRADESH,AGRICULTURE,AGRICULTURE,2019,62.98
NR,JAMMU & KASHMIR,AGRICULTURE,AGRICULTURE,2019,349
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2019,210.36
SR,KARNATAKA,AGRICULTURE,AGRICULTURE,2019,22788.19
SR,KERALA,AGRICULTURE,AGRICULTURE,2019,348.67
WR,MADHYA PRADESH,AGRICULTURE,AGRICULTURE,2019,20283.8
WR,MAHARASHTRA,AGRICULTURE,AGRICULTURE,2019,34616.34
NER,MANIPUR,AGRICULTURE,AGRICULTURE,2019,2.12
NER,MEGHALAYA,AGRICULTURE,AGRICULTURE,2019,0.13
ER,ODISHA,AGRICULTURE,AGRICULTURE,2019,558.89
SR,PUDUCHERRY,AGRICULTURE,AGRICULTURE,2019,59.97
NR,PUNJAB,AGRICULTURE,AGRICULTURE,2019,11268.38
NR,RAJASTHAN,AGRICULTURE,AGRICULTURE,2019,23300.35
SR,TAMILNADU,AGRICULTURE,AGRICULTURE,2019,13077.16
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2019,24077.04
NER,TRIPURA,AGRICULTURE,AGRICULTURE,2019,40.67
NR,UTTAR PRADESH,AGRICULTURE,AGRICULTURE,2019,17362.03
NR,UTTARAKHAND,AGRICULTURE,AGRICULTURE,2019,450.19
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2019,1515.55
ER,A & N ISLANDS,COMMERCIAL,COMMERCIAL,2019,60.29
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2019,4724.61
NER,ARUNACHAL PRADESH,COMMERCIAL,COMMERCIAL,2019,51.02
NER,ASSAM,COMMERCIAL,COMMERCIAL,2019,1096.95
ER,BIHAR,COMMERCIAL,COMMERCIAL,2019,2067.82
NR,CHANDIGARH,COMMERCIAL,COMMERCIAL,2019,472.98
WR,CHHATTISGARH,COMMERCIAL,COMMERCIAL,2019,1482.14
WR,DADRA & NAGAR HAVELI,COMMERCIAL,COMMERCIAL,2019,34.2
NR,DELHI,COMMERCIAL,COMMERCIAL,2019,7702.83
WR,DIU & DAMAN,COMMERCIAL,COMMERCIAL,2019,51.3
WR,GOA,COMMERCIAL,COMMERCIAL,2019,541.73
WR,GUJARAT,COMMERCIAL,COMMERCIAL,2019,4157.85
NR,HARYANA,COMMERCIAL,COMMERCIAL,2019,4547.94
NR,HIMACHAL PRADESH,COMMERCIAL,COMMERCIAL,2019,614.56
NR,JAMMU & KASHMIR,COMMERCIAL,COMMERCIAL,2019,1263.4
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2019,808.83
SR,KARNATAKA,COMMERCIAL,COMMERCIAL,2019,6553.68
SR,KERALA,COMMERCIAL,COMMERCIAL,2019,2455.89
SR,LAKSHADWEEP,COMMERCIAL,COMMERCIAL,2019,11.78
