State,YearValue,Generation_GWh,PLF_Percent
Andaman and Nicobar,2019,30.432,0
Andhra Pradesh,2019,14601.009,0
Arunachal Pradesh,2019,1.75,0
Assam,2019,22.15,0
Bihar,2019,489.362,0
Chandigarh,2019,13.672,0
Chhattisgarh,2019,958.68,0
Dadra and Nagar Haveli,2019,5.759,0
Daman and Diu,2019,18.936,0
Delhi,2019,287.756,0
Goa,2019,0,0
Gujarat,2019,14696.39,0
Haryana,2019,674.55,0
Himachal Pradesh,2019,2288.794,0
Jammu and Kashmir,2019,312.196,0
Jharkhand,2019,20.909,0
Karnataka,2019,21884.318,0
Kerala,2019,806.326,0
Lakshadweep,2019,1.107,0
Madhya Pradesh,2019,8765.352,0
Maharashtra,2019,15503.315,0
Manipur,2019,1.876,0
Meghalaya,2019,50.51,0
Mizoram,2019,40.084,0
MULTIPLE STATES,2019,0,0
Nagaland,2019,87.458,0
Orissa,2019,676.74,0
Puducherry,2019,2.583,0
Punjab,2019,2450.907,0
Rajasthan,2019,11996.191,0
Sikkim,2019,28.107,0
Tamil Nadu,2019,18236.018,0
Telangana,2019,7087.991,0
Tripura,2019,82.08,0
Uttar Pradesh,2019,5707.931,0
Uttaranchal,2019,1106.631,0
West Bengal,2019,1495.145,0
