Region,State,EnergySource,YearValue,Capacity_MW
ER,WEST BENGAL,SMALL HYDRO,2019,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2019,300
ER,WEST BENGAL,SOLAR,2019,75.95
ER,JHARKHAND,SMALL HYDRO,2019,4.05
ER,JHARKHAND,SOLAR,2019,34.95
ER,BIHAR,SMALL HYDRO,2019,70.7
ER,BIHAR,COGENERATION-BAGASSE,2019,113
ER,BIHAR,SOLAR,2019,142.45
WR,MADHYA PRADESH,SMALL HYDRO,2019,95.91
WR,MADHYA PRADESH,WIND,2019,2519.89
WR,MADHYA PRADESH,WASTE,2019,15.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2019,93
WR,MADHYA PRADESH,SOLAR,2019,1840.16
WR,CHHATTISGARH,SMALL HYDRO,2019,76
WR,CHHATTISGARH,COGENERATION-BAGASSE,2019,228
WR,CHHATTISGARH,SOLAR,2019,231.35
NR,UTTAR PRADESH,SMALL HYDRO,2019,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2019,1957.5
NR,UTTAR PRADESH,SOLAR,2019,960.1
WR,MAHARASHTRA,SMALL HYDRO,2019,375.57
WR,MAHARASHTRA,WIND,2019,4794.13
WR,MAHARASHTRA,WASTE,2019,12.59
WR,MAHARASHTRA,COGENERATION-BAGASSE,2019,2499.7
WR,MAHARASHTRA,SOLAR,2019,1633.54
ER,ODISHA,SMALL HYDRO,2019,64.625
ER,ODISHA,COGENERATION-BAGASSE,2019,50.4
ER,ODISHA,SOLAR,2019,394.73
SR,ANDHRA PRADESH,SMALL HYDRO,2019,162.11
SR,ANDHRA PRADESH,WIND,2019,4090.45
SR,ANDHRA PRADESH,WASTE,2019,23.16
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2019,378.2
SR,ANDHRA PRADESH,SOLAR,2019,3085.68
SR,TELANGANA,SMALL HYDRO,2019,90.87
SR,TELANGANA,WIND,2019,128.1
SR,TELANGANA,WASTE,2019,18.5
SR,TELANGANA,COGENERATION-BAGASSE,2019,158.1
SR,TELANGANA,SOLAR,2019,3592.09
ER,SIKKIM,SMALL HYDRO,2019,52.11
ER,SIKKIM,SOLAR,2019,0.01
NER,ASSAM,SMALL HYDRO,2019,34.11
NER,ASSAM,SOLAR,2019,22.4
NER,ARUNACHAL PRADESH,SMALL HYDRO,2019,131.105
NER,ARUNACHAL PRADESH,SOLAR,2019,5.39
NER,MEGHALAYA,SMALL HYDRO,2019,32.53
NER,MEGHALAYA,SOLAR,2019,0.12
NER,NAGALAND,SMALL HYDRO,2019,30.67
NER,NAGALAND,SOLAR,2019,1
WR,GUJARAT,SMALL HYDRO,2019,61.3
WR,GUJARAT,WIND,2019,6073.07
WR,GUJARAT,COGENERATION-BAGASSE,2019,65.3
WR,GUJARAT,SOLAR,2019,2440.13
NR,JAMMU & KASHMIR,SMALL HYDRO,2019,179.03
NR,JAMMU & KASHMIR,SOLAR,2019,14.83
SR,KERALA,SMALL HYDRO,2019,222.02
SR,KERALA,WIND,2019,52.5
SR,KERALA,SOLAR,2019,138.59
SR,PUDUCHERRY,SOLAR,2019,3.14
NR,RAJASTHAN,SMALL HYDRO,2019,23.85
NR,RAJASTHAN,WIND,2019,4299.72
NR,RAJASTHAN,COGENERATION-BAGASSE,2019,119.3
NR,RAJASTHAN,SOLAR,2019,3226.79
SR,TAMILNADU,SMALL HYDRO,2019,123.05
SR,TAMILNADU,WIND,2019,8973.21
SR,TAMILNADU,WASTE,2019,6.4
SR,TAMILNADU,COGENERATION-BAGASSE,2019,969
SR,TAMILNADU,SOLAR,2019,2575.22
NR,DELHI,WASTE,2019,52
NR,DELHI,SOLAR,2019,126.89
NR,HARYANA,SMALL HYDRO,2019,73.5
NR,HARYANA,COGENERATION-BAGASSE,2019,121.4
NR,HARYANA,SOLAR,2019,224.52
NR,HIMACHAL PRADESH,SMALL HYDRO,2019,860.61
NR,HIMACHAL PRADESH,SOLAR,2019,22.68
SR,KARNATAKA,SMALL HYDRO,2019,1254.73
SR,KARNATAKA,WIND,2019,4694.9
SR,KARNATAKA,WASTE,2019,1
SR,KARNATAKA,COGENERATION-BAGASSE,2019,1783.6
SR,KARNATAKA,SOLAR,2019,6095.56
NR,PUNJAB,SMALL HYDRO,2019,173.55
NR,PUNJAB,WASTE,2019,9.25
NR,PUNJAB,COGENERATION-BAGASSE,2019,194
NR,PUNJAB,SOLAR,2019,905.62
NR,UTTARAKHAND,SMALL HYDRO,2019,214.32
NR,UTTARAKHAND,COGENERATION-BAGASSE,2019,73
NR,UTTARAKHAND,SOLAR,2019,306.75
WR,GOA,SMALL HYDRO,2019,0.05
WR,GOA,SOLAR,2019,3.92
NER,MANIPUR,SMALL HYDRO,2019,5.45
NER,MANIPUR,SOLAR,2019,3.44
NER,MIZORAM,SMALL HYDRO,2019,36.47
NER,MIZORAM,SOLAR,2019,0.5
NER,TRIPURA,SMALL HYDRO,2019,16.01
NER,TRIPURA,SOLAR,2019,5.09
ER,A & N ISLANDS,SMALL HYDRO,2019,5.25
ER,A & N ISLANDS,SOLAR,2019,11.73
WR,DIU & DAMAN,SOLAR,2019,14.47
SR,LAKSHADWEEP,SOLAR,2019,0.75
NR,CHANDIGARH,SOLAR,2019,34.71
WR,DADRA & NAGAR HAVELI,SOLAR,2019,5.46
