,State,totalConsump,Population_Millions
1,A & N ISLANDS,254.67,0.595
2,ANDHRA PRADESH,63341.69,90.704
3,ARUNACHAL PRADESH,446.55,1.362
4,ASSAM,8657.59,33.722
5,BIHAR,21197.8,107.941
6,CHANDIGARH,1535.64,2.081
7,CHHATTISGARH,44749.45,26.955
8,DADRA & NAGAR HAVELI,6069.99,0.477
9,DELHI,29170.99,23.546
10,DIU & DAMAN,2431.93,0.384
11,GOA,4103.66,2.145
12,GUJARAT,110161.31,65.284
13,HARYANA,44077.32,28.855
14,HIMACHAL PRADESH,9164.3,7.29
15,JAMMU & KASHMIR,9636.52,12.848
16,JHARKHAND,26814.81,35.125
17,KARNATAKA,75300.48,64.231
18,KERALA,22282.88,36.346
19,LAKSHADWEEP,48.91,0.085
20,MADHYA PRADESH,69234.17,81.725
21,MAHARASHTRA,139487.91,125.15
22,MANIPUR,612.78,2.688
23,MEGHALAYA,1249.97,2.877
24,MIZORAM,407.77,1.102
25,NAGALAND,679.14,2.468
26,ODISHA,70204.68,43.636
27,PUDUCHERRY,2816.21,1.91
28,PUNJAB,52364.09,30.011
29,RAJASTHAN,67805.34,76.385
30,SIKKIM,380.81,0.67
31,TAMILNADU,98257.03,70.518
32,TELANGANA,61640.09,35
33,TRIPURA,955.69,3.969
34,UTTAR PRADESH,101735.25,230.114
35,UTTARAKHAND,12494.91,11.083
36,WEST BENGAL,50199.35,96.325
